card_strength,pot_size,player_coin,opponent_coin,action
0.45,30,93,10,chaal
0.63,85,13,30,chaal
0.9,85,36,82,show
0.74,81,45,96,pack
0.76,88,66,31,show
0.72,82,67,33,pack
0.81,39,37,16,chaal
0.74,49,15,15,chaal
0.63,21,33,53,show
0.49,25,55,91,pack
0.94,54,38,52,show
0.01,37,17,64,chaal
0.02,82,46,66,pack
0.97,54,40,90,chaal
0.5,63,25,46,show
0.54,22,45,73,chaal
0.39,78,32,14,show
0.62,62,19,35,chaal
0.1,44,64,54,pack
0.28,42,26,11,chaal
0.33,100,74,65,chaal
0.26,28,46,42,pack
0.6,34,82,83,chaal
0.78,95,70,22,show
0.66,29,99,90,pack
0.13,86,96,86,chaal
0.36,77,87,50,chaal
0.29,56,51,47,chaal
0.36,26,22,96,chaal
0.67,71,66,90,show
0.87,46,32,16,show
0.9,88,71,37,show
0.46,26,63,26,chaal
0.22,36,69,58,pack
0.84,73,13,70,show
0.51,81,80,14,pack
0.42,75,60,70,show
0.79,65,23,88,chaal
0.93,46,20,84,show
0.73,96,23,13,chaal
0.2,83,65,77,chaal
0.29,89,44,17,pack
0.64,46,67,29,chaal
0.61,83,79,55,show
0.84,58,35,83,chaal
0.7,82,83,30,show
0.69,71,92,19,chaal
0.18,28,29,93,pack
0.1,83,44,92,pack
0.35,99,89,81,chaal
0.85,94,10,59,chaal
0.54,77,89,43,pack
0.21,79,52,56,pack
0.13,64,32,64,pack
0.15,86,79,33,pack
0.72,57,37,36,show
0.54,93,65,33,chaal
0.49,81,79,38,chaal
0.53,35,20,27,pack
0.43,91,32,14,chaal
0.67,49,72,98,chaal
0.22,96,28,21,chaal
0.57,76,86,47,pack
0.21,43,46,58,pack
0.95,48,88,56,show
0.66,56,77,43,chaal
0.37,98,81,66,show
0.22,78,64,56,pack
0.31,97,57,42,chaal
0.45,25,13,96,chaal
0.38,84,24,60,chaal
0.51,61,67,71,chaal
0.42,63,18,34,chaal
0.75,34,25,74,pack
0.51,26,75,31,show
