card_strength,pot_size,player_coin,opponent_coin,action
0.05,43,76,40,pack
0.86,44,62,66,show
0.11,85,74,30,pack
0.67,21,76,91,show
0.02,47,72,43,pack
0.86,86,87,84,chaal
0.61,26,64,64,show
0.72,100,44,87,pack
0.31,29,92,13,chaal
0.6,96,29,52,pack
0.29,60,68,94,pack
0.67,48,67,20,pack
0.29,23,22,90,pack
0.52,30,61,62,chaal
0.36,76,75,16,chaal
0.75,39,35,20,chaal
0.88,93,61,53,chaal
0.24,40,28,92,pack
0.76,31,38,91,show
0.57,93,35,99,show
0.71,71,52,85,chaal
0.31,24,34,91,pack
0.19,86,100,39,pack
0.98,23,39,70,chaal
0.7,56,27,50,pack
0.7,22,51,66,chaal
0.84,91,96,54,chaal
0.78,68,77,100,chaal
0.64,48,90,41,chaal
0.6,73,66,18,pack
0.73,93,43,31,pack
0.93,43,71,59,chaal
0.28,54,69,97,pack
0.84,49,41,21,show
0.05,93,52,84,pack
0.33,25,15,65,show
0.98,43,93,45,chaal
0.95,81,27,90,chaal
0.78,69,41,69,show
0.29,29,34,11,pack
0.22,42,38,32,pack
0.01,88,18,49,pack
0.31,51,28,67,chaal
0.92,58,63,16,chaal
0.1,68,52,40,pack
0.91,37,23,58,chaal
0.6,36,24,10,pack
0.6,96,75,100,chaal
0.02,77,29,76,pack
0.72,51,12,55,show
0.88,39,55,99,show
0.03,82,52,32,pack
0.16,63,72,44,chaal
0.64,60,92,18,chaal
0.13,59,100,13,pack
0.4,40,99,89,pack
0.92,84,28,30,show
0.79,93,29,49,show
0.2,99,61,97,chaal
0.83,95,21,46,show
0.88,66,52,57,chaal
0.53,90,38,89,show
0.44,67,55,40,pack
0.67,36,60,56,show
0.63,40,92,99,chaal
0.77,39,10,11,chaal
0.89,96,75,60,show
0.08,77,65,85,chaal
0.53,45,11,18,pack
0.95,79,78,12,chaal
0.52,23,85,75,pack
0.91,52,76,91,chaal
0.53,89,43,61,chaal
0.77,80,42,80,chaal
0.56,65,95,58,chaal
0.05,49,13,81,pack
0.2,44,19,58,pack
0.69,98,64,92,pack
0.38,42,56,91,chaal
0.43,71,83,77,show
0.31,100,10,30,pack
0.92,51,19,84,chaal
0.88,42,36,62,show
0.19,59,89,78,pack
0.88,27,52,13,show
0.71,33,33,99,pack
0.37,22,18,27,chaal
0.78,49,22,21,show
0.0,53,74,70,pack
0.88,98,76,41,chaal
0.78,55,100,65,show
0.1,77,80,49,pack
0.41,67,99,75,chaal
0.5,85,92,21,show
0.85,83,14,80,show
0.67,79,70,66,chaal
0.53,72,94,83,pack
0.56,69,42,11,show
0.94,100,33,100,show
0.96,24,63,62,chaal
0.92,58,29,97,chaal
0.84,23,63,14,chaal
0.97,32,55,24,chaal
0.53,70,98,36,chaal
0.01,53,15,86,pack
0.04,84,66,33,chaal
0.33,67,33,94,chaal
0.2,37,77,27,pack
0.6,78,37,57,pack
0.56,26,31,98,chaal
0.63,33,71,86,chaal
0.36,53,54,46,pack
0.13,41,82,77,pack
0.06,83,71,48,chaal
0.78,45,61,32,chaal
0.3,62,41,94,chaal
0.94,100,27,34,show
0.8,22,90,51,chaal
0.38,37,16,23,pack
0.25,20,28,72,pack
0.62,52,20,94,show
0.7,65,89,100,show
0.96,26,25,100,show
0.91,74,45,100,show
0.8,65,13,50,show
0.75,56,43,35,pack
0.41,36,89,47,chaal
0.53,38,81,22,chaal
0.72,27,37,61,chaal
0.3,25,34,88,pack
0.63,85,88,85,pack
0.29,59,87,81,chaal
0.37,29,93,29,pack
0.49,91,21,75,chaal
1.0,32,45,55,show
0.49,86,90,67,show
0.33,79,13,38,chaal
0.52,95,69,81,chaal
0.07,23,12,21,pack
0.72,74,42,36,chaal
0.56,63,81,98,chaal
0.81,96,100,83,chaal
0.26,79,92,69,pack
0.92,98,80,67,show
0.26,50,83,12,pack
0.16,30,20,77,chaal
0.17,80,15,90,chaal
0.12,30,54,35,pack
0.02,38,27,29,pack
0.75,62,96,70,pack
0.35,77,58,76,show
0.74,96,32,64,chaal
0.5,39,73,34,pack
0.86,57,47,33,show
0.41,65,42,36,chaal
0.64,76,46,74,chaal
0.65,58,85,17,chaal
0.92,78,78,72,chaal
0.9,44,38,76,show
0.96,83,32,22,show
0.83,38,65,68,show
0.02,74,82,58,pack
1.0,56,62,55,chaal
0.86,28,56,56,chaal
0.82,89,87,62,show
0.77,39,80,30,show
0.41,33,76,95,pack
0.04,77,33,97,pack
0.53,39,84,95,chaal
0.6,91,73,92,pack
0.07,89,94,78,chaal
0.79,58,80,41,show
0.26,49,61,70,pack
0.52,25,99,76,show
0.69,78,54,33,chaal
0.25,99,97,91,pack
0.08,60,39,98,chaal
0.5,65,54,17,chaal
0.02,50,54,19,chaal
0.46,58,55,70,pack
0.82,95,18,56,show
0.59,23,70,14,chaal
0.03,47,93,44,pack
0.39,25,39,28,pack
0.84,58,58,24,chaal
0.29,29,28,23,pack
0.1,75,87,30,chaal
0.6,64,31,65,chaal
0.86,61,40,22,show
0.99,80,17,48,chaal
0.7,24,15,38,pack
0.31,95,39,74,chaal
0.12,75,18,33,pack
0.8,69,78,39,chaal
0.95,29,54,42,chaal
0.3,91,76,81,chaal
0.97,99,24,60,show
0.82,44,38,21,show
0.49,27,12,81,chaal
0.54,98,57,40,chaal
0.03,33,39,90,chaal
0.69,37,69,19,chaal
0.46,68,28,34,pack
0.18,81,48,96,pack
0.32,28,75,95,chaal
0.68,84,89,62,pack
0.74,87,90,15,chaal
0.46,32,77,30,show
0.97,25,94,43,chaal
0.08,52,11,16,pack
0.41,96,57,79,chaal
0.58,52,37,76,pack
0.02,32,76,96,pack
0.55,21,85,84,chaal
0.56,23,98,94,chaal
0.05,89,47,28,chaal
0.63,20,67,43,chaal
0.9,32,38,68,chaal
0.58,29,92,85,show
0.78,52,81,42,chaal
0.54,85,37,17,show
0.5,24,85,64,chaal
0.4,85,29,42,show
0.7,36,26,30,chaal
0.74,36,11,69,pack
0.37,67,47,65,chaal
0.91,23,88,10,show
0.12,22,73,10,pack
0.83,55,97,20,chaal
0.36,39,93,67,chaal
0.21,50,84,93,chaal
0.17,46,74,43,pack
0.83,76,85,11,chaal
0.99,70,34,66,chaal
0.9,44,31,41,chaal
0.18,72,81,18,chaal
0.31,56,62,61,chaal
0.26,69,13,83,chaal
0.06,40,62,56,pack
0.74,67,44,42,pack
0.9,87,37,21,chaal
0.06,58,29,43,pack
0.9,83,95,62,show
0.36,39,17,55,chaal
0.2,67,64,67,chaal
0.32,46,21,97,pack
1.0,43,78,76,chaal
0.64,97,15,13,chaal
0.18,51,36,81,pack
0.44,42,34,56,chaal
0.12,78,60,87,chaal
0.91,76,31,72,chaal
0.11,69,14,51,chaal
0.78,64,67,39,show
0.34,91,92,42,pack
0.52,55,38,50,pack
0.88,29,70,79,chaal
0.82,64,98,64,chaal
0.01,46,88,67,chaal
0.36,40,48,91,chaal
0.45,85,12,83,chaal
0.77,60,14,16,show
0.28,80,87,33,chaal
0.54,59,94,21,chaal
0.16,99,11,76,pack
0.55,29,98,79,pack
0.66,84,49,11,show
0.94,82,30,57,chaal
0.9,91,68,32,chaal
0.63,60,42,50,pack
0.99,77,45,77,chaal
0.81,36,91,84,show
0.86,92,62,67,chaal
0.06,39,31,14,pack
0.3,68,25,58,chaal
0.64,45,11,82,pack
0.88,33,90,12,chaal
0.9,92,60,63,show
0.52,96,24,68,chaal
0.63,99,27,14,pack
0.7,31,18,34,pack
0.21,64,87,62,pack
0.23,30,63,70,pack
0.94,89,87,78,show
0.85,62,84,28,show
0.72,57,55,28,pack
0.33,91,86,52,chaal
0.95,29,60,54,show
0.62,45,22,11,show
0.82,95,39,73,show
0.47,22,45,64,pack
0.5,99,73,84,pack
0.13,67,16,41,pack
0.81,35,75,52,show
0.28,28,53,38,pack
0.68,40,89,70,pack
0.95,72,10,63,show
0.52,99,53,82,chaal
0.5,76,57,81,chaal
0.62,44,75,50,chaal
0.07,51,10,88,pack
0.25,59,59,67,chaal
0.63,49,88,67,chaal
0.24,50,64,69,chaal
0.73,59,26,32,chaal
0.08,90,21,60,chaal
0.64,79,78,74,show
0.51,62,13,44,show
0.73,45,28,51,show
0.01,44,14,56,chaal
0.36,45,39,38,chaal
0.57,72,75,43,chaal
0.61,49,58,33,show
0.33,69,86,16,chaal
0.94,35,35,83,show
0.22,73,98,40,chaal
0.35,71,88,69,chaal
0.53,72,99,26,pack
0.86,27,36,48,show
0.11,46,68,38,chaal
0.34,40,46,47,pack
0.45,59,16,20,chaal
0.94,51,22,14,show
0.66,83,61,70,chaal
0.81,63,52,27,chaal
0.74,50,28,56,chaal
0.37,60,91,30,pack
0.78,29,81,89,chaal
0.93,28,58,19,chaal
0.63,54,19,87,chaal
0.91,34,12,97,chaal
0.31,93,76,21,chaal
0.64,27,28,99,pack
0.39,69,54,57,chaal
0.72,49,29,79,chaal
0.26,77,18,32,pack
0.42,44,57,80,chaal
0.33,67,60,61,pack
0.82,86,13,71,chaal
0.1,53,32,43,chaal
0.18,43,81,76,chaal
0.32,99,18,47,show
0.04,29,47,41,pack
0.2,47,77,11,pack
0.83,47,47,32,chaal
0.84,89,94,67,show
0.37,45,19,60,pack
0.3,85,74,84,pack
0.64,39,100,70,pack
0.67,46,66,97,show
0.56,62,17,82,chaal
0.16,91,79,75,pack
0.2,51,46,43,pack
0.53,100,63,26,chaal
0.26,40,36,89,pack
0.9,69,70,50,chaal
0.46,56,58,78,chaal
0.78,65,75,40,chaal
0.09,64,96,38,pack
0.58,40,10,10,chaal
0.09,56,18,88,chaal
0.58,62,61,43,chaal
0.83,20,28,21,chaal
0.22,91,78,26,chaal
0.25,27,54,80,pack
0.98,90,65,36,chaal
0.08,84,82,39,pack
0.14,95,35,93,pack
0.11,27,20,36,pack
0.06,27,10,52,pack
0.17,31,85,79,pack
0.78,37,75,78,chaal
0.16,93,54,89,pack
0.72,96,99,61,chaal
0.27,67,26,98,pack
0.57,41,23,59,pack
0.5,95,41,76,chaal
0.11,98,19,25,chaal
0.09,64,61,96,pack
0.17,69,70,92,pack
0.61,60,31,25,chaal
0.55,95,74,27,show
0.14,95,40,28,pack
0.95,65,91,79,chaal
0.99,97,44,19,chaal
0.27,35,82,91,pack
0.7,69,55,25,chaal
0.74,35,36,83,show
0.07,79,18,81,pack
0.87,43,56,35,show
0.45,55,64,82,chaal
0.98,50,16,71,chaal
0.21,97,91,34,pack
0.23,55,70,25,pack
0.72,83,94,23,pack
0.58,58,74,89,chaal
0.39,42,92,86,pack
1.0,51,14,26,chaal
0.82,54,47,21,chaal
0.3,95,94,40,chaal
0.32,27,21,11,pack
0.3,73,34,14,show
0.36,81,80,65,chaal
0.02,95,57,60,chaal
0.95,84,55,43,chaal
0.86,21,80,50,chaal
0.73,64,58,81,pack
0.82,40,29,76,chaal
0.17,49,46,61,chaal
0.79,79,82,21,show
0.67,95,63,50,chaal
0.75,62,66,50,chaal
0.26,82,98,24,chaal
0.69,42,70,84,chaal
0.72,32,54,53,chaal
0.76,81,78,16,show
0.12,57,85,17,pack
0.33,31,77,95,chaal
0.68,94,85,77,chaal
0.03,63,34,55,pack
0.4,63,46,78,show
0.65,40,43,27,chaal
0.15,75,85,27,pack
0.39,95,100,34,chaal
0.14,67,88,35,chaal
1.0,36,69,54,chaal
0.8,63,66,26,chaal
0.44,21,69,38,show
0.7,29,88,79,pack
0.69,73,55,56,show
0.24,67,25,82,pack
0.18,83,70,56,pack
0.31,53,53,80,chaal
0.6,22,47,49,chaal
0.08,92,64,60,pack
0.17,94,82,99,pack
0.01,53,77,21,chaal
0.69,58,25,66,chaal
0.38,61,50,83,show
0.29,81,55,42,pack
0.94,43,19,80,chaal
0.19,42,78,21,pack
0.21,34,96,82,pack
0.43,26,22,49,pack
0.95,50,75,41,chaal
0.36,56,26,52,pack
0.04,29,87,89,pack
0.21,69,70,75,pack
1.0,25,48,30,chaal
0.0,30,11,50,pack
0.17,87,35,56,chaal
0.78,68,77,66,chaal
0.72,72,66,20,chaal
0.93,55,20,54,show
0.38,84,80,45,chaal
0.39,71,67,97,pack
0.43,27,25,61,chaal
0.22,41,32,34,pack
0.08,76,89,92,pack
0.98,74,44,26,chaal
0.73,86,30,69,chaal
0.82,67,88,65,show
0.13,77,30,31,chaal
0.36,26,69,97,pack
0.14,33,88,16,pack
0.54,67,53,95,chaal
0.46,57,52,46,show
0.04,71,13,46,pack
0.62,64,65,36,chaal
0.99,31,30,93,chaal
0.15,40,100,53,chaal
0.38,42,26,95,show
0.97,32,93,19,show
0.04,54,20,85,pack
0.15,81,77,62,pack
0.52,57,45,86,pack
0.15,30,27,31,pack
0.04,47,21,93,chaal
0.17,53,41,49,pack
0.72,74,18,81,show
0.24,100,37,27,chaal
0.9,70,21,58,show
0.39,54,72,87,chaal
1.0,77,18,18,show
0.1,53,40,99,pack
0.0,53,87,68,pack
0.47,97,68,55,chaal
0.45,62,88,87,pack
0.76,86,85,60,show
0.17,83,78,77,pack
0.15,62,90,60,pack
0.31,29,69,30,show
0.33,48,67,21,pack
0.88,66,10,31,show
0.39,54,68,11,chaal
0.73,70,40,52,show
0.13,21,23,41,chaal
0.48,55,32,18,chaal
0.41,51,100,14,chaal
0.22,40,20,15,chaal
0.16,40,84,20,pack
0.38,86,94,73,chaal
0.73,77,85,44,show
0.97,26,96,89,show
0.2,93,71,63,pack
0.61,48,38,72,chaal
0.02,98,63,92,chaal
0.15,55,63,80,pack
0.3,97,100,51,pack
0.48,87,77,91,pack
0.88,79,65,23,show
0.38,22,48,92,chaal
0.46,64,22,61,show
0.87,95,64,97,chaal
0.75,43,59,19,pack
0.76,21,44,71,chaal
0.58,77,57,57,chaal
0.04,46,82,24,pack
0.84,26,71,55,chaal
0.82,97,45,75,chaal
0.71,93,88,30,chaal
0.89,38,22,91,show
0.77,94,49,39,chaal
0.4,72,38,73,chaal
0.88,51,88,53,show
0.42,55,98,84,pack
0.01,20,76,45,pack
0.1,70,32,100,chaal
0.85,64,18,69,show
0.16,95,46,43,chaal
0.21,30,44,76,pack
0.83,58,58,94,show
0.13,84,23,37,pack
0.74,66,80,25,show
0.2,33,57,42,pack
0.29,31,79,38,chaal
0.38,78,65,52,chaal
0.95,91,83,93,show
0.22,23,63,29,pack
0.02,98,58,64,pack
0.51,54,83,14,pack
0.85,71,33,88,show
0.87,99,58,67,show
0.3,61,11,26,pack
0.59,48,53,49,chaal
0.07,20,59,83,pack
0.24,52,95,59,chaal
0.32,28,21,32,pack
0.83,41,32,15,show
0.03,48,32,97,pack
0.6,38,27,96,pack
0.17,50,83,60,pack
0.29,87,47,67,chaal
0.08,56,46,43,chaal
0.23,76,100,30,chaal
0.62,78,57,83,chaal
0.12,55,94,55,pack
0.24,69,16,15,pack
0.04,61,17,77,pack
0.0,58,90,92,pack
0.84,69,19,42,chaal
0.97,36,64,70,chaal
0.38,30,81,64,show
0.51,39,99,49,pack
0.61,27,99,69,pack
0.71,95,27,53,show
0.98,32,23,97,show
0.69,38,30,59,show
0.7,95,91,91,chaal
0.28,73,62,17,pack
0.54,78,31,23,chaal
0.36,64,93,52,chaal
0.46,37,19,76,pack
0.27,49,38,84,pack
0.7,28,25,76,show
0.24,92,22,65,pack
0.37,50,17,51,pack
0.62,58,59,51,chaal
0.55,96,80,77,show
0.65,21,29,87,chaal
0.28,26,40,83,pack
0.16,81,89,46,pack
0.79,63,73,10,show
